playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,0.308,0.00605,4,-35.164,1,0.0486,0.995,0.929,0.0869,0.0739,66.122,274747
1,0.429,0.535,3,-11.043,1,0.0379,0.815,0.93,0.0759,0.926,81.182,131599
1,0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,169667
1,0.251,0.00904,5,-31.599,1,0.0406,0.995,0.922,0.0779,0.0819,62.225,233400
1,0.568,0.409,9,-17.256,1,0.0336,0.794,0.0705,0.172,0.785,112.3,172093
1,0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,254000
1,0.363,0.115,2,-17.325,1,0.0689,0.976,0,0.0992,0.231,134.424,262147
1,0.208,0.15,7,-18.262,1,0.0585,0.985,0.934,0.119,0.546,76.5,136582
1,0.369,0.21,6,-13.552,1,0.0437,0.959,4.53E-05,0.0905,0.391,131.714,142173
1,0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827
1,0.4,0.312,0,-17.376,1,0.157,0.973,0.28,0.25,0.44,76.211,271973
1,0.226,0.0701,2,-20.668,1,0.0361,0.929,0.782,0.123,0.15,176.342,527400
1,0.235,0.0561,2,-23.311,1,0.0442,0.95,0.29,0.119,0.0518,107.619,271560
1,0.436,0.138,5,-23.467,1,0.0487,0.989,0.92,0.104,0.775,114.282,143480
1,0.356,0.107,6,-29.551,1,0.0346,0.984,0.886,0.0787,0.332,94.178,101507
1,0.122,0.0963,0,-21.942,1,0.0375,0.962,0.666,0.166,0.133,83.662,227333
1,0.189,0.0947,4,-19.46,0,0.0381,0.916,0.271,0.135,0.131,80.628,231693
1,0.169,0.137,2,-20.632,0,0.032,0.954,0.745,0.155,0.0558,90.246,267200
1,0.208,0.0728,0,-21.736,1,0.0385,0.921,0.783,0.182,0.0466,82.973,490147
1,0.491,0.464,7,-12.974,1,0.0505,0.766,0.925,0.309,0.187,81.582,516253
1,0.148,0.0441,4,-24.975,0,0.0418,0.971,0.878,0.0672,0.0883,75.515,856187
1,0.296,0.252,7,-18.558,0,0.0451,0.906,0.886,0.106,0.3,89.935,380688
1,0.217,0.0653,1,-20.894,0,0.0398,0.853,0.00336,0.0575,0.0496,96.77,259747
1,0.14,0.0347,1,-24.935,0,0.0414,0.848,0.175,0.0888,0.0378,83.087,369720
1,0.37,0.00308,2,-37.721,1,0.0483,0.987,0.855,0.0823,0.0771,71.206,123538
1,0.255,0.108,4,-22.921,0,0.0473,0.845,0.0121,0.152,0.108,103.282,681267
1,0.368,0.0224,7,-31.261,1,0.0364,0.994,0.918,0.129,0.247,98.118,620293
1,0.0718,0.00848,6,-34.952,1,0.0439,0.894,0.753,0.159,0.0468,72.313,203893
1,0.216,0.0959,6,-21.114,1,0.0489,0.944,0.0172,0.157,0.0381,70.022,196267
1,0.287,0.0789,8,-23.112,1,0.0416,0.987,0.858,0.112,0.0371,64.27,249747
1,0.138,0.111,5,-18.272,1,0.0451,0.976,0.59,0.0862,0.0388,80.465,370000
1,0.151,0.0145,9,-30.353,1,0.0416,0.975,0.0212,0.131,0.0356,54.843,179000
1,0.156,0.0335,0,-25.684,0,0.0411,0.939,0.789,0.124,0.0359,67.197,623369
1,0.266,0.181,11,-21.682,0,0.0418,0.98,0.837,0.135,0.0753,135.86,332293
1,0.278,0.373,0,-16.175,1,0.0446,0.748,0.251,0.19,0.284,80.788,394307
1,0.291,0.0759,4,-24.078,1,0.0413,0.99,0.837,0.107,0.213,65.252,199760
1,0.249,0.0317,11,-27.114,0,0.0542,0.981,0.414,0.0993,0.0855,133.739,172763
1,0.165,0.0519,11,-25.473,1,0.0512,0.981,5.10E-05,0.103,0.0398,76.891,551907
1,0.224,0.0988,11,-28.538,1,0.0382,0.991,0.908,0.115,0.277,95.355,213573
1,0.294,0.134,0,-21.31,0,0.05,0.869,0.947,0.112,0.558,115.904,262280
1,0.388,0.276,5,-15.012,0,0.0277,0.933,0.334,0.111,0.427,97.34,351653
1,0.575,0.634,7,-16.967,1,0.0487,0.941,0.849,0.0919,0.904,191.992,271800
1,0.368,0.242,0,-17.463,0,0.0382,0.96,0.804,0.109,0.177,87.959,343093
1,0.25,0.0799,1,-28.647,1,0.0396,0.989,0.982,0.201,0.557,67.911,102787
1,0.197,0.133,10,-24.248,1,0.0484,0.863,0.812,0.156,0.0389,125.682,836973
1,0.0802,0.00652,3,-35.334,1,0.0446,0.976,0.166,0.12,0.0377,82.109,403720
1,0.0698,0.00405,3,-38.919,0,0.0383,0.851,0.418,0.153,0.0356,74.584,542760
1,0.386,0.325,7,-14.183,0,0.0427,0.923,0.904,0.105,0.224,155.594,644920
1,0.137,0.078,8,-26.417,1,0.0407,0.992,0.0039,0.0864,0.0441,99.966,303520
1,0.396,0.126,2,-23.011,1,0.0465,0.945,0.46,0.158,0.11,97.813,483240
1,0.225,0.0392,9,-32.237,1,0.0413,0.921,0.2,0.127,0.0705,86.238,307373
1,0.333,0.125,0,-19.339,1,0.0337,0.72,0.456,0.0902,0.203,113.221,399040
1,0.188,0.0128,10,-24.619,0,0.0376,0.923,0.355,0.53,0.0396,72.644,217507
1,0.492,0.00107,3,-38.861,1,0.0587,0.995,0.939,0.0871,0.301,131.454,122653
1,0.18,0.0951,11,-24.228,0,0.048,0.97,0.911,0.11,0.0527,75.667,435787
1,0.427,0.0067,3,-34.741,1,0.0587,0.996,0.931,0.0748,0.0397,83.576,306067
1,0.0903,0.083,11,-21.241,0,0.0387,0.958,0.863,0.0883,0.032,85.443,642827
1,0.087,0.0507,2,-30.065,1,0.0432,0.21,0.419,0.106,0.0393,84.323,576920
1,0.19,0.0266,0,-25.947,0,0.0428,0.992,0.868,0.062,0.0574,122.353,425933
1,0.235,0.101,1,-20.776,1,0.0477,0.972,0.109,0.107,0.046,177.51,249573
1,0.149,0.0511,4,-25.398,0,0.0442,0.959,0.784,0.125,0.0537,81.422,471760
1,0.281,0.113,4,-16.608,1,0.0586,0.99,1.90E-06,0.101,0.232,81.682,405387
2,0.529,0.813,5,-5.517,1,0.0327,0.00823,0,0.359,0.79,154.068,219920
2,0.582,0.86,7,-4.092,1,0.0389,0.048,0,0.169,0.79,148.31,210480
2,0.45,0.9,2,-2.684,1,0.0894,0.0317,0,0.203,0.567,180.035,185191
2,0.486,0.443,4,-6.791,1,0.034,0.611,2.46E-06,0.0981,0.215,125.159,226438
2,0.484,0.903,8,-3.9,0,0.0882,0.0649,0,0.151,0.716,169.948,186988
2,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01E-06,0.32,0.552,155.938,197160
2,0.588,0.813,5,-5.779,1,0.0391,0.141,0,0.116,0.648,81.051,188886
2,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97E-05,0.115,0.839,78.176,218280
2,0.565,0.805,0,-4.457,1,0.0489,0.0808,0,0.173,0.869,76.04,181933
2,0.649,0.368,2,-10.372,1,0.109,0.478,0.0002,0.257,0.191,73.542,258267
2,0.465,0.8,0,-5.876,1,0.037,0.0132,0,0.0975,0.773,94.796,201453
2,0.543,0.744,8,-5.41,1,0.0273,0.0124,0,0.315,0.38,93.029,201213
2,0.562,0.683,7,-4.427,1,0.0296,0.00531,0,0.107,0.385,132.003,244798
2,0.475,0.507,5,-5.666,1,0.0403,0.173,0.000523,0.0723,0.303,143.804,236396
2,0.673,0.827,7,-3.162,0,0.0389,0.00661,0,0.18,0.947,126.073,187453
2,0.499,0.643,11,-5.416,1,0.0354,0.307,0,0.106,0.469,93.805,201480
2,0.569,0.389,7,-6.435,1,0.0283,0.532,9.65E-06,0.137,0.197,127.484,179867
2,0.653,0.861,0,-5.283,1,0.0388,0.0734,0,0.114,0.354,101.951,184535
2,0.621,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,209110
2,0.669,0.559,5,-5.003,1,0.0251,0.0805,0,0.0703,0.491,95.001,199413
2,0.736,0.423,7,-6.934,1,0.0428,0.398,0,0.108,0.346,94.919,186450
2,0.503,0.536,4,-7.229,1,0.0259,0.642,0.00143,0.111,0.21,90.966,241467
2,0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,199382
2,0.615,0.755,6,-4.274,1,0.0398,0.0261,0,0.076,0.853,165.051,195600
2,0.593,0.745,7,-4.37,1,0.0574,0.19,0,0.227,0.849,169.951,175067
2,0.711,0.774,7,-4.068,1,0.0308,0.0317,0,0.124,0.939,111.016,209733
2,0.539,0.597,8,-5.25,1,0.0269,0.307,4.19E-06,0.112,0.245,169.896,161124
2,0.726,0.856,8,-2.807,1,0.035,0.0342,4.60E-06,0.302,0.962,114.022,182498
2,0.66,0.83,5,-5.099,1,0.029,0.292,0,0.141,0.856,122.079,194840
2,0.662,0.596,1,-6.733,1,0.0385,0.217,0,0.147,0.625,101.016,189173
2,0.467,0.854,2,-3.53,1,0.0392,0.0137,0,0.203,0.466,166.115,195432
2,0.634,0.808,3,-4.12,1,0.0517,0.192,0,0.0898,0.937,82.016,186867
2,0.496,0.506,0,-8.725,1,0.0284,0.00315,1.93E-05,0.277,0.347,141.874,208293
2,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,197293
2,0.676,0.79,11,-6.817,0,0.0296,0.024,0.031,0.186,0.897,121.693,149720
2,0.442,0.335,5,-17.789,0,0.0979,0.907,0.132,0.273,0.394,177.372,240027
2,0.561,0.636,1,-6.943,1,0.0268,0.0345,0.00253,0.111,0.325,81.989,205964
2,0.609,0.68,9,-6.316,1,0.0348,0.0886,0,0.108,0.561,140.013,211547
2,0.75,0.835,5,-4.848,1,0.0311,0.397,0,0.0414,0.924,140.029,189973
2,0.602,0.805,7,-6.079,1,0.0473,0.0997,0,0.172,0.322,92.401,199627
2,0.492,0.594,4,-7.138,1,0.0449,0.00709,0,0.116,0.314,147.882,196493
2,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09E-05,0.0841,0.372,97.04,278893
2,0.554,0.641,9,-7.443,1,0.0246,0.083,1.54E-06,0.133,0.541,149.982,222306
2,0.621,0.477,0,-5.284,1,0.0334,0.202,0,0.215,0.481,81.976,253084
2,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,182667
2,0.447,0.429,1,-7.36,1,0.028,0.718,0.0163,0.105,0.074,116.521,216280
2,0.712,0.649,2,-6.438,1,0.0302,0.0214,0.00241,0.11,0.457,104.003,220627
2,0.683,0.796,11,-4.179,1,0.0285,0.111,0,0.197,0.531,90.031,201893
2,0.618,0.881,2,-4.78,1,0.0419,0.0874,8.91E-06,0.0899,0.89,124.976,221453
2,0.51,0.947,0,-1.746,1,0.0445,0.0108,0,0.153,0.749,159.995,235242
2,0.659,0.902,7,-6.192,1,0.0296,0.13,9.45E-05,0.0574,0.809,124.985,230013
2,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080
2,0.501,0.876,3,-4.792,1,0.0404,0.0106,0,0.135,0.681,159.025,175493
2,0.599,0.931,11,-3.662,1,0.0517,0.0285,0,0.102,0.788,111.012,180302
2,0.548,0.901,0,-2.637,0,0.0453,0.2,0,0.1,0.557,145.953,206213
2,0.502,0.792,3,-5.473,0,0.0335,0.304,0.0385,0.143,0.44,155.902,215080
2,0.557,0.909,11,-3.405,1,0.0423,0.00769,0,0.317,0.857,152.13,181400
2,0.431,0.778,7,-5.542,1,0.029,0.0432,0.000258,0.388,0.452,149.9,221360
2,0.693,0.335,0,-10.863,1,0.0395,0.338,0.000552,0.118,0.623,136.071,198907
2,0.555,0.89,6,-5.533,1,0.0309,0.0414,0.131,0.147,0.513,96.987,335267
2,0.558,0.815,2,-5.352,1,0.067,0.0122,0,0.0705,0.638,157.954,244453
2,0.61,0.876,0,-4.244,1,0.0394,0.0247,0,0.31,0.783,115.05,180347
2,0.563,0.789,11,-3.949,1,0.0297,0.00908,0.000396,0.0956,0.748,145.096,205840
2,0.545,0.779,9,-5.282,1,0.0395,0.0465,3.81E-06,0.118,0.511,108.958,227107
2,0.615,0.824,10,-4.903,0,0.107,0.021,0,0.342,0.637,149.986,197813
2,0.547,0.664,1,-5.622,1,0.028,0.0139,2.94E-06,0.0767,0.551,138.048,221467
2,0.621,0.805,7,-6.543,1,0.0398,0.0378,0,0.0911,0.766,102.034,212547
2,0.586,0.804,1,-5.277,1,0.0343,0.0372,0,0.334,0.693,90.97,190920
2,0.698,0.847,5,-3.764,0,0.0306,0.111,1.46E-06,0.137,0.807,130.001,192720
2,0.283,0.649,2,-4.657,1,0.0323,0.0158,0,0.268,0.37,148.982,200627
2,0.648,0.849,4,-5.901,1,0.0511,0.0556,0,0.304,0.82,151.966,199277
2,0.632,0.742,9,-4.684,1,0.0569,0.226,0,0.099,0.661,88.004,182504
2,0.586,0.677,1,-8.343,1,0.0294,0.043,0.0936,0.0884,0.562,144.001,262280
2,0.497,0.835,4,-4.545,1,0.0466,0.079,1.49E-06,0.262,0.868,156.025,196863
2,0.586,0.759,7,-5.338,1,0.0457,0.1,0,0.084,0.687,184.031,198227
2,0.557,0.737,3,-5.75,1,0.0476,0.0142,0,0.314,0.817,158.05,204187
2,0.421,0.898,4,-4.277,1,0.08,0.0298,0,0.152,0.795,164.069,193507
2,0.484,0.841,11,-5.761,1,0.0446,0.0453,0.0137,0.353,0.716,174.019,236625
2,0.609,0.788,4,-7.855,1,0.0416,0.645,3.72E-05,0.174,0.54,108.053,184947
2,0.78,0.583,7,-7.36,1,0.0901,0.0526,4.08E-06,0.0367,0.881,85.014,186547
2,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69E-06,0.0992,0.19,92.036,221173
2,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,298373
2,0.432,0.738,2,-3.91,1,0.0309,0.042,0,0.119,0.503,153.712,191907
2,0.602,0.79,8,-4.46,1,0.0355,0.026,7.43E-05,0.162,0.274,108.008,259080
2,0.414,0.843,11,-4.638,1,0.0531,0.00647,1.52E-05,0.194,0.572,165.713,230707
2,0.555,0.931,8,-2.969,1,0.0367,0.016,0,0.405,0.723,132.085,220907
2,0.549,0.866,6,-5.306,1,0.0476,0.0733,0,0.25,0.767,87.964,187400
2,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63E-05,0.0669,0.709,181.964,191040
