,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
36,36,0.743,0.8640000000000001,9,-4.043,0,0.0539,0.10099999999999999,0.000285,0.111,0.528,124.01,184686
37,37,0.8490000000000001,0.7559999999999999,11,-7.226,1,0.0985,0.513,0.0,0.259,0.701,104.98100000000001,161167
38,38,0.596,0.9620000000000001,11,-2.502,1,0.0571,0.0147,0.10300000000000001,0.247,0.325,126.09100000000001,162840
39,39,0.629,0.539,7,-7.006,0,0.063,0.166,0.0,0.18899999999999997,0.316,109.885,193747
40,40,0.812,0.635,11,-11.050999999999998,1,0.0753,1.8100000000000003e-05,0.9359999999999999,0.126,0.8109999999999999,121.98299999999999,222295
41,41,0.764,0.868,5,-8.033999999999999,0,0.136,0.00725,0.000682,0.0946,0.337,126.03399999999999,195429
42,42,0.54,0.961,11,-3.5869999999999997,0,0.0645,0.0123,0.7959999999999999,0.0913,0.648,121.664,188732
43,43,0.355,0.746,11,-5.3420000000000005,0,0.0479,0.0387,0.055,0.0552,0.361,150.227,169125
44,44,0.726,0.747,1,-11.173,1,0.0383,0.0301,0.7559999999999999,0.33899999999999997,0.495,125.986,230476
45,45,0.5870000000000001,0.648,11,-6.9270000000000005,0,0.0439,0.0561,0.0,0.115,0.281,144.028,220141
46,46,0.784,0.951,7,-7.92,1,0.052000000000000005,0.00403,0.852,0.0324,0.8079999999999999,123.99,220645
47,47,0.563,0.741,2,-5.151,1,0.0419,0.0927,0.0,0.142,0.43799999999999994,128.002,209077
48,48,0.46,0.858,11,-5.527,1,0.0606,0.0864,1.06e-05,0.39799999999999996,0.375,99.94200000000001,180006
49,49,0.715,0.635,7,-6.591,1,0.0791,0.127,0.0,0.0862,0.39,112.887,198635
50,50,0.547,0.672,0,-5.093999999999999,1,0.0436,0.306,0.0,0.068,0.564,99.946,237933
51,51,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840
52,52,0.5920000000000001,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,277262
53,53,0.68,0.84,10,-5.329,0,0.0421,0.0525,0.0019399999999999999,0.161,0.39,126.023,172381
54,54,0.44799999999999995,0.9109999999999999,1,-3.095,1,0.0408,0.0214,0.0,0.059000000000000004,0.255,127.12700000000001,234012
55,55,0.5820000000000001,0.757,0,-3.965,1,0.0399,0.16,0.0,0.187,0.516,104.105,205787
56,56,0.5329999999999999,0.807,2,-3.597,1,0.0457,0.09699999999999999,0.0,0.0608,0.369,125.025,253440
57,57,0.529,0.612,10,-8.794,1,0.052000000000000005,0.253,0.0,0.24600000000000002,0.434,119.272,193847
58,58,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03e-06,0.105,0.34700000000000003,103.039,181102
59,59,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.23600000000000002,128.114,239067
60,60,0.633,0.9179999999999999,11,-8.208,0,0.0454,0.0334,0.867,0.364,0.7859999999999999,129.99,194926
61,61,0.5660000000000001,0.909,8,-7.281000000000001,0,0.054000000000000006,0.004,0.0932,0.156,0.382,127.037,240384
62,62,0.6509999999999999,0.693,4,-4.7219999999999995,1,0.0375,0.45799999999999996,0.0,0.335,0.392,118.97,236765
63,63,0.562,0.882,11,-4.356,0,0.0604,0.0034,0.12300000000000001,0.55,0.6940000000000001,125.985,240000
64,64,0.937,0.632,11,-8.216000000000001,0,0.3,0.0349,0.000742,0.10800000000000001,0.57,128.02100000000002,210703
65,65,0.514,0.878,10,-4.498,1,0.038,0.0271,0.000356,0.142,0.249,125.988,250810
66,66,0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,228267
67,67,0.498,0.494,0,-12.42,1,0.0343,0.0118,0.00108,0.166,0.12,134.983,209938
68,68,0.637,0.812,5,-4.314,0,0.0553,0.00927,0.0,0.46299999999999997,0.593,123.02600000000001,196814
69,69,0.43799999999999994,0.725,8,-5.845,0,0.0856,0.326,6.57e-06,0.142,0.342,149.934,224000
70,70,0.654,0.795,0,-4.419,1,0.0536,0.17800000000000002,0.0,0.19,0.465,120.01899999999999,185750
