no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
88,1,0.314,0.0157,1,0.067234922,0,0.0356,0.991,0.916,0.134,0.0939,0.459736499,1
89,1,0.308,0.00605,1,0.095337724,1,0.0486,0.995,0.929,0.0869,0.0739,0.317016339,1
90,1,0.429,0.535,1,0.71837789,1,0.0379,0.815,0.93,0.0759,0.926,0.389220236,1
91,1,0.162,0.0898,1,0.402582978,0,0.0354,0.944,0.917,0.187,0.0413,0.633088179,1
92,1,0.251,0.00904,1,0.187420896,1,0.0406,0.995,0.922,0.0779,0.0819,0.298332502,1
93,1,0.568,0.409,1,0.557897456,1,0.0336,0.794,0.0705,0.172,0.785,0.538412857,1
94,1,0.368,0.00363,1,0.054139223,1,0.035,0.993,0.922,0.137,0.085,0.33255504,1
95,1,0.363,0.115,1,0.556115201,1,0.0689,0.976,0,0.0992,0.231,0.644484504,1
96,1,0.276,0.15,1,0.531912695,1,0.0517,0.985,0.932,0.119,0.552,0.375719162,1
97,1,0.369,0.21,1,0.653570967,1,0.0437,0.959,4.53E-05,0.0905,0.391,0.631491639,1
98,1,0.199,0.0677,0,0.464316157,1,0.039,0.786,0.738,0.225,0.145,0.37811637,1
99,1,0.4,0.312,0,0.554797882,1,0.157,0.973,0.28,0.25,0.44,0.365387197,1
100,1,0.226,0.0701,1,0.46976624,1,0.0361,0.929,0.782,0.123,0.15,0.845456812,1
101,2,0.643,0.79,1,0.846596926,1,0.0462,0.294,0,0.107,0.8,0.460201557,1
102,2,0.499,0.643,1,0.863722072,1,0.0354,0.307,0,0.106,0.469,0.449740143,1
103,2,0.574,0.792,1,0.85204701,1,0.0489,0.0135,0,0.11,0.562,0.503360885,1
104,2,0.511,0.652,1,0.896448405,1,0.0436,0.182,0,0.0897,0.175,0.372813747,1
105,2,0.506,0.886,1,0.920315123,1,0.0655,0.0916,0,0.0734,0.595,0.69008419,1
106,2,0.464,0.813,1,0.843858969,1,0.0416,0.0153,0,0.254,0.516,0.364255715,1
107,2,0.566,0.713,1,0.893839597,1,0.0417,0.645,0,0.114,0.807,0.814398589,1
108,2,0.614,0.68,1,0.885315769,1,0.0289,0.369,1.84E-06,0.115,0.707,0.718965749,1
109,2,0.537,0.66,1,0.818313315,1,0.0296,0.455,0,0.135,0.574,0.710033753,1
110,2,0.607,0.536,1,0.814903784,1,0.0305,0.386,0,0.102,0.434,0.709506367,1
111,2,0.523,0.666,1,0.89820483,0,0.0327,0.401,0,0.0728,0.564,0.374333576,1
112,2,0.489,0.581,1,0.85558569,1,0.0281,0.0312,0,0.132,0.494,0.412396441,1
113,2,0.655,0.56,1,0.826501356,1,0.0486,0.749,0,0.115,0.599,0.67589272,1
114,2,0.736,0.458,1,0.811520083,1,0.0316,0.441,0,0.148,0.65,0.474536859,1
115,2,0.552,0.402,1,0.811675061,1,0.0262,0.676,0,0.0928,0.382,0.495325445,1
116,2,0.612,0.799,1,0.884721684,1,0.0275,0.00898,0,0.172,0.687,0.603981283,1
117,2,0.645,0.904,1,0.886555599,1,0.0462,0.0293,0,0.0834,0.671,0.508064207,1
118,2,0.554,0.743,1,0.848224203,1,0.0287,0.0251,0,0.359,0.673,0.349977946,1
119,2,0.333,0.412,1,0.780627664,1,0.029,0.0977,0,0.113,0.474,0.407659558,1
120,2,0.638,0.722,1,0.844065608,1,0.0332,0.0119,0.00808,0.189,0.469,0.493906298,1
121,2,0.747,0.861,1,0.867983986,1,0.0514,0.113,0,0.026,0.859,0.498456198,1
122,2,0.458,0.897,1,0.877592664,1,0.0402,0.0183,0,0.174,0.728,0.767734543,1
123,2,0.491,0.907,1,0.910783934,1,0.0481,0.0491,0,0.242,0.631,0.958609811,1
124,2,0.362,0.882,1,0.907606871,1,0.0973,0.0791,0,0.15,0.864,0.957976948,1
125,2,0.677,0.556,1,0.834586078,1,0.0306,0.263,0,0.105,0.521,0.383596387,1
126,2,0.551,0.801,1,0.872685006,1,0.0303,0.013,6.03E-06,0.265,0.625,0.613814629,1
127,2,0.616,0.438,1,0.849464032,1,0.0298,0.356,0,0.24,0.386,0.6517001,1
128,2,0.661,0.75,1,0.861629859,1,0.0314,0.0303,0.000132,0.0849,0.828,0.62364318,1
129,2,0.739,0.682,1,0.907322743,1,0.205,0.129,0,0.328,0.634,0.632781336,1
130,2,0.606,0.652,1,0.823272633,1,0.0281,0.323,0,0.201,0.476,0.465801434,1
131,2,0.638,0.367,1,0.799405915,1,0.0266,0.84,0,0.0999,0.219,0.344991754,1
132,2,0.706,0.358,1,0.788428258,1,0.0347,0.677,0,0.107,0.478,0.364332426,1
133,2,0.536,0.754,1,0.871832623,1,0.0399,0.0597,4.92E-06,0.118,0.212,0.671160632,1
134,2,0.579,0.776,1,0.86503939,1,0.173,0.0749,0,0.239,0.434,0.652251458,1
135,2,0.544,0.781,1,0.844504714,0,0.0311,0.00585,0,0.191,0.527,0.690755408,1
136,2,0.57,0.684,1,0.821412889,1,0.0465,0.136,0,0.205,0.531,0.426760509,1
137,2,0.687,0.845,1,0.890740023,1,0.0576,0.1,0,0.0452,0.809,0.421774317,1
138,2,0.711,0.696,1,0.873175772,1,0.0869,0.16,0,0.17,0.694,0.386007978,1
139,2,0.646,0.781,1,0.884385897,1,0.0313,0.208,0,0.125,0.565,0.455349609,1
140,2,0.725,0.437,1,0.755598605,1,0.0575,0.593,0,0.0842,0.759,0.402658983,1
141,2,0.582,0.568,1,0.84732016,1,0.0297,0.196,0,0.0841,0.64,0.364495436,1
142,2,0.499,0.797,1,0.906237892,1,0.0554,0.199,0,0.0933,0.408,0.843932188,1
143,2,0.592,0.891,1,0.922407336,1,0.0512,0.0267,0,0.352,0.674,0.479360041,1
144,2,0.471,0.897,1,0.944982565,1,0.0597,0.193,0,0.196,0.719,0.766905109,1
