,no,playlist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
27,28,0,0.4529288702928871,0.7015978627955037,1,0.8166400850611376,0.2676518883415435,0.8463848234470654,0.3360995850622406,0.09896073311831255,0.8221993833504625,0.3726783584642266,1
28,29,0,0.6861924686192468,0.5513886788648622,1,0.6586390217969166,0.1459770114942529,0.17168287152829453,0.0001607883817427158,0.06373828904930123,0.7944501541623844,0.5808564534469847,1
29,30,0,0.4832635983263599,0.7983769343212863,1,0.8696703880914408,0.05287356321839076,0.3855392937882621,0.0,0.2975989351354118,0.8468653648509764,0.9431157377018868,1
30,31,0,0.44456066945606687,0.7832552043953828,1,0.9249069643806486,0.10591133004926112,0.6244962350928268,0.00067219917012451,0.15220396252495783,0.8859198355601233,0.9153346214649569,1
31,32,0,0.6621338912133892,0.5534049095216492,1,0.8089845826687933,0.09901477832512318,0.8744974047770143,0.002759336099585008,0.05134899912967794,0.869475847893114,0.7355293204027107,1
32,33,0,0.4905857740585774,0.23383235042088812,1,0.5831472620946306,0.05977011494252871,0.4086317713092915,0.045020746887966756,0.21466236625198376,0.42651593011305233,0.3801159318461269,1
33,34,0,0.5407949790794979,0.6078431372549019,1,0.9294790005316321,0.05960591133004922,0.973895460193619,0.03360995850622406,0.26483387088516874,0.5714285714285715,0.40316362661440175,1
34,35,0,0.7290794979079499,0.638086597106709,1,0.7242690058479532,0.06174055829228242,0.4839333284430829,5.321576763483993e-05,0.257666513080428,0.8293936279547791,0.473869109802435,1
35,36,0,0.7635983263598326,0.2328242350924945,0,0.6284688995215312,0.05829228243021345,0.5291142627233577,0.011618257261410747,0.06240720831413504,0.6413155190133607,0.40320060646962563,1
36,37,0,0.7803347280334728,0.5604617168204044,1,0.6414141414141414,0.09277504105090317,0.4959815775844896,0.0,0.3180771002918139,0.8776978417266188,0.576331043663964,1
37,38,0,0.34832635983263593,0.6038106759413276,0,0.8128654970760234,0.2889983579638753,0.3323261934137163,0.027800829875518684,1.0,0.5395683453237411,0.9605517394399401,1
38,39,0,0.7374476987447699,0.4828368365340995,1,0.7099946836788942,0.08899835796387523,0.15059843553083296,0.02748962655601661,0.20135155890032252,0.7327852004110996,0.5679319940462433,1
39,40,0,0.6872384937238494,0.6431271737486769,1,0.6895002658160553,0.13957307060755342,0.929718546675128,0.017116182572614158,0.11739108175907442,0.7574511819116135,0.5109830170014884,1
40,41,0,0.6715481171548118,0.5997782146277534,1,0.6428761297182349,0.4548440065681445,0.01465402438529484,0.0024688796680497616,0.16244304510315877,0.9136690647482014,0.7206449286751042,1
41,42,0,0.33577405857740583,0.6259892131659862,1,0.895800106326422,0.049589490968801275,0.4929695152991378,5.269709543564982e-05,0.3477704397685967,0.7985611510791367,0.4961679625024268,1
42,43,0,0.6276150627615062,0.4959423358032159,1,0.7810207336523126,0.1018062397372742,0.7620470794572192,0.0,0.05227051656171611,0.6382322713257965,0.5290476762783474,1
43,44,0,0.5962343096234309,0.238872927062856,1,0.7118819776714514,0.07766830870279151,0.9518070034343734,0.023236514522821605,0.10817590743869354,0.5580678314491263,0.5332125324729354,1
44,45,0,0.4989539748953975,0.43243107011442117,1,0.8624667729930888,0.04055829228243024,0.6917656261323473,0.00020228215767637003,0.14913223775149742,0.6279547790339157,0.3814472066341861,1
45,46,0,0.4644351464435147,0.3296033066182771,1,0.6276448697501329,0.3694581280788177,0.9347386504840474,0.0026244813278007983,0.06568371473915935,0.9003083247687563,0.3751375188366137,1
46,47,0,0.8106694560669456,0.49896668178839665,1,0.8436469962785752,0.06814449917898191,0.4979896191080573,0.022717842323651483,0.11124763221215384,0.8859198355601233,0.5595791692475524,1
47,48,0,0.6694560669456068,0.4959423358032159,1,0.7388357256778308,0.06781609195402294,0.6184721105221235,4.8029045643160906e-05,0.1818973020017407,0.9804727646454267,0.539129309308754,1
48,49,0,0.6579497907949791,0.2731488482282374,1,0.567437533227007,0.09950738916256152,0.8925697784891242,0.007748962655601654,0.10408027440741308,0.6844809866392599,0.37895106640657505,1
49,50,0,0.5669456066945607,0.9445536569383537,1,0.97538543328017,0.10197044334975369,0.05220440087601208,0.0001981327800829602,0.05186095325858797,0.45734840698869483,0.38075845683064147,1
50,51,1,0.15481171548117156,0.04037501890216244,1,0.3706539074960128,0.06863711001642037,0.9748994809554028,0.9107883817427385,0.0633287257461731,0.09075025693730732,0.34906672090378765,1
51,52,1,0.20606694560669458,0.12999647159635064,1,0.38997873471557687,0.07947454844006563,0.8664652386827433,0.8423236514522822,0.15425177904059795,0.03997944501541628,0.5809627705307534,1
52,53,1,0.243723849372385,0.02132163919552399,1,0.3746677299308878,0.05681444991789819,0.9789155640025384,0.6234439834024895,0.1409409716889367,0.09619732785200408,0.43791544556103057,1
