no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
33,0,0.469,0.236,1,0.583147262,1,0.0364,0.407,0.0434,0.215,0.415,0.380115932,1
34,0,0.517,0.607,1,0.929479001,1,0.0363,0.97,0.0324,0.264,0.556,0.403163627,1
35,0,0.697,0.637,1,0.724269006,0,0.0376,0.482,5.13E-05,0.257,0.807,0.47386911,1
36,0,0.73,0.235,0,0.6284689,1,0.0355,0.527,0.0112,0.0663,0.624,0.403200606,1
37,0,0.746,0.56,1,0.641414141,1,0.0565,0.494,0,0.316,0.854,0.576331044,1
38,0,0.333,0.603,0,0.812865497,1,0.176,0.331,0.0268,0.982,0.525,0.960551739,1
39,0,0.705,0.483,1,0.709994684,1,0.0542,0.15,0.0265,0.202,0.713,0.567931994,1
40,0,0.657,0.642,1,0.689500266,1,0.085,0.926,0.0165,0.12,0.737,0.510983017,1
41,0,0.642,0.599,1,0.64287613,0,0.277,0.0146,0.00238,0.164,0.889,0.720644929,1
42,0,0.321,0.625,1,0.895800106,0,0.0302,0.491,5.08E-05,0.345,0.777,0.496167963,1
43,0,0.6,0.496,1,0.781020734,1,0.062,0.759,0,0.0564,0.621,0.529047676,1
44,0,0.57,0.241,1,0.711881978,1,0.0473,0.948,0.0224,0.111,0.543,0.533212532,1
45,0,0.477,0.433,1,0.862466773,0,0.0247,0.689,0.000195,0.151,0.611,0.381447207,1
46,0,0.444,0.331,1,0.62764487,0,0.225,0.931,0.00253,0.0695,0.876,0.375137519,1
47,0,0.775,0.499,1,0.843646996,1,0.0415,0.496,0.0219,0.114,0.862,0.559579169,1
48,0,0.64,0.496,1,0.738835726,1,0.0413,0.616,4.63E-05,0.183,0.954,0.539129309,1
49,0,0.629,0.275,1,0.567437533,1,0.0606,0.889,0.00747,0.107,0.666,0.378951066,1
50,0,0.542,0.941,1,0.975385433,1,0.0621,0.052,0.000191,0.056,0.445,0.380758457,1
51,1,0.148,0.0441,1,0.370653907,0,0.0418,0.971,0.878,0.0672,0.0883,0.349066721,1
52,1,0.197,0.133,1,0.389978735,1,0.0484,0.863,0.812,0.156,0.0389,0.580962771,1
53,1,0.233,0.0252,1,0.37466773,1,0.0346,0.975,0.601,0.143,0.0936,0.437915446,1
54,1,0.255,0.108,1,0.425252525,0,0.0473,0.845,0.0121,0.152,0.108,0.477419176,1
55,1,0.386,0.325,1,0.657522594,0,0.0427,0.923,0.904,0.105,0.224,0.719230449,1
56,1,0.0903,0.083,1,0.469909623,0,0.0387,0.958,0.863,0.0883,0.032,0.394958721,1
57,1,0.156,0.0335,0,0.351807549,0,0.0411,0.939,0.789,0.124,0.0359,0.310616916,1
58,1,0.368,0.0224,1,0.203561935,1,0.0364,0.994,0.918,0.129,0.247,0.453548679,1
59,1,0.087,0.0507,1,0.235353535,1,0.0432,0.21,0.419,0.106,0.0393,0.389781542,1
60,1,0.165,0.0519,1,0.357416268,1,0.0512,0.981,5.10E-05,0.103,0.0398,0.355427256,1
61,1,0.0698,0.00405,1,0,0,0.0383,0.851,0.418,0.153,0.0356,0.34476319,1
62,1,0.226,0.0701,1,0.485140883,1,0.0361,0.929,0.782,0.123,0.15,0.815137704,1
63,1,0.491,0.464,1,0.689659755,1,0.0505,0.766,0.925,0.309,0.187,0.377111319,1
64,1,0.343,0.0209,1,0.316427432,1,0.0398,0.987,0.922,0.126,0.0393,0.578928878,1
65,1,0.208,0.0728,0,0.456751728,1,0.0385,0.921,0.783,0.182,0.0466,0.383541191,1
66,1,0.396,0.126,1,0.422860181,1,0.0465,0.945,0.46,0.158,0.11,0.452138822,1
67,1,0.149,0.0511,1,0.359409888,0,0.0442,0.959,0.784,0.125,0.0537,0.376371722,1
68,1,0.39,0.0432,1,0.387426901,1,0.0506,0.723,0.000303,0.108,0.326,0.681520242,1
69,1,0.441,0.319,1,0.662652844,1,0.0392,0.829,0,0.0765,0.671,0.459562528,1
70,1,0.248,0.298,0,0.618234981,0,0.0395,0.957,0.9,0.0943,0.157,0.452323722,1
71,1,0.18,0.0951,1,0.390510367,0,0.048,0.97,0.911,0.11,0.0527,0.349769338,1
72,1,0,0.0842,1,0.518926103,1,0,0.755,0.889,0.262,0,0,1
73,1,0.442,0.181,1,0.491759702,0,0.0443,0.906,0.656,0.0598,0.172,0.535671693,1
74,1,0.19,0.0266,0,0.344816587,0,0.0428,0.992,0.868,0.062,0.0574,0.565574528,1
75,1,0.15,0.128,1,0.490669856,1,0.0459,0.944,0.93,0.0703,0.113,0.216198101,1
76,1,0.281,0.113,1,0.593062201,1,0.0586,0.99,1.90E-06,0.101,0.232,0.377573567,1
77,1,0.0802,0.00652,1,0.095295056,1,0.0446,0.976,0.166,0.12,0.0377,0.379547367,1
78,1,0.333,0.125,0,0.520467836,1,0.0337,0.72,0.456,0.0902,0.203,0.523362024,1
79,1,0.278,0.373,0,0.604572036,1,0.0446,0.748,0.251,0.19,0.284,0.373441068,1
